task,category,priority
Send report to gym,Work,High
Budget for doctor,Finance,Medium
Call home,Personal,Low
Pay math bill,Finance,High
Work on gym project,Academic,Low
Pay math bill,Finance,Medium
Go for dentist checkup,Health,High
Check friend account balance,Finance,High
Invest in friend,Finance,Medium
Spend time with doctor,Personal,Low
Pay home bill,Finance,Medium
Invest in home,Finance,Medium
Review notes for friend,Academic,Medium
Invest in doctor,Finance,High
Clean the parents,Personal,Medium
Fix bug in home module,Work,Medium
Do project workout,Health,High
Spend time with dentist,Personal,Medium
Buy groceries for manager,Personal,Medium
Fix bug in friend module,Work,Low
Clean the project,Personal,Medium
Deploy changes to project,Work,Low
Prepare for doctor exam,Academic,High
Buy groceries for gym,Personal,Medium
Pay friend bill,Finance,Medium
Buy doctor supplements,Health,Medium
Review notes for math,Academic,Medium
Transfer money to manager,Finance,Medium
Transfer money to manager,Finance,Medium
Buy parents supplements,Health,Medium
Invest in bank,Finance,High
Invest in dentist,Finance,Medium
Pay manager bill,Finance,High
Prepare for project exam,Academic,Medium
Attend dentist meeting,Work,Medium
Update manager documentation,Work,Medium
Transfer money to project,Finance,Low
Go for dentist checkup,Health,High
Submit project assignment,Academic,High
Buy groceries for parents,Personal,High
Update home documentation,Work,Medium
Review notes for gym,Academic,Medium
Spend time with doctor,Personal,High
Deploy changes to friend,Work,Medium
Clean the project,Personal,Medium
Buy groceries for manager,Personal,High
Transfer money to dentist,Finance,High
Buy groceries for bank,Personal,Medium
Clean the friend,Personal,Medium
Do parents workout,Health,Low
Go for friend checkup,Health,Medium
Attend dentist class,Academic,Low
Update home documentation,Work,Medium
Buy groceries for doctor,Personal,High
Plan trip to doctor,Personal,High
Transfer money to friend,Finance,Medium
Invest in home,Finance,Medium
Work on manager project,Academic,High
Plan trip to manager,Personal,High
Go for manager checkup,Health,High
Deploy changes to doctor,Work,Medium
Transfer money to bank,Finance,Medium
Check doctor account balance,Finance,Low
Invest in manager,Finance,High
Go for bank checkup,Health,High
Fix bug in dentist module,Work,Low
Review notes for project,Academic,Low
Fix bug in home module,Work,High
Call gym,Personal,Medium
Review notes for manager,Academic,High
Update project documentation,Work,High
Buy groceries for doctor,Personal,High
Submit friend assignment,Academic,Medium
Do bank workout,Health,High
Take bank medicine,Health,Medium
Prepare for friend exam,Academic,Medium
Work on doctor project,Academic,High
Take manager medicine,Health,Medium
Submit friend assignment,Academic,Medium
Take home medicine,Health,Low
Call friend,Personal,High
Plan trip to bank,Personal,High
Do friend workout,Health,Medium
Check home account balance,Finance,Low
Deploy changes to manager,Work,Medium
Review notes for dentist,Academic,Medium
Attend manager class,Academic,High
Invest in bank,Finance,Medium
Deploy changes to doctor,Work,Medium
Send report to doctor,Work,High
Submit math assignment,Academic,Medium
Check parents account balance,Finance,Medium
Plan trip to bank,Personal,Medium
Check doctor account balance,Finance,Low
Go for home checkup,Health,Medium
Fix bug in home module,Work,High
Clean the manager,Personal,Low
Clean the friend,Personal,Low
Prepare for parents exam,Academic,Medium
Plan trip to friend,Personal,High
Send report to dentist,Work,Medium
Plan trip to dentist,Personal,Medium
Spend time with home,Personal,Medium
Budget for gym,Finance,Medium
Work on bank project,Academic,High
Attend project class,Academic,Medium
Clean the math,Personal,Low
Send report to friend,Work,Low
Invest in friend,Finance,High
Take doctor medicine,Health,High
Schedule friend appointment,Health,Low
Update dentist documentation,Work,Medium
Attend parents class,Academic,High
Budget for project,Finance,Medium
Buy math supplements,Health,Medium
Update friend documentation,Work,Medium
Prepare for bank exam,Academic,Low
Pay manager bill,Finance,High
Transfer money to friend,Finance,Low
Buy groceries for bank,Personal,Medium
Spend time with gym,Personal,Low
Deploy changes to friend,Work,Medium
Plan trip to home,Personal,Medium
Call friend,Personal,High
Budget for bank,Finance,High
Update gym documentation,Work,Medium
Work on doctor project,Academic,High
Budget for parents,Finance,Medium
Take dentist medicine,Health,Medium
Schedule parents appointment,Health,Low
Submit home assignment,Academic,High
Fix bug in manager module,Work,High
Do project workout,Health,High
Buy groceries for friend,Personal,Medium
Deploy changes to parents,Work,High
Submit bank assignment,Academic,High
Go for math checkup,Health,Low
Do dentist workout,Health,Low
Invest in gym,Finance,High
Transfer money to math,Finance,High
Buy groceries for math,Personal,Medium
Review notes for home,Academic,High
Pay manager bill,Finance,Medium
Plan trip to manager,Personal,Low
Plan trip to gym,Personal,Low
Go for bank checkup,Health,Low
Work on math project,Academic,High
Buy project supplements,Health,Medium
Deploy changes to manager,Work,Medium
Pay doctor bill,Finance,Medium
Plan trip to doctor,Personal,Medium
Buy groceries for doctor,Personal,Low
Prepare for project exam,Academic,Low
Deploy changes to bank,Work,High
Spend time with project,Personal,Low
Call project,Personal,High
Send report to gym,Work,Medium
Take gym medicine,Health,Medium
Clean the friend,Personal,High
Check bank account balance,Finance,High
Prepare for friend exam,Academic,High
Prepare for parents exam,Academic,High
Check manager account balance,Finance,Medium
Do gym workout,Health,High
Do parents workout,Health,Medium
Budget for parents,Finance,Medium
Schedule gym appointment,Health,Low
Buy math supplements,Health,Medium
Buy bank supplements,Health,High
Budget for dentist,Finance,Medium
Call bank,Personal,Medium
Plan trip to parents,Personal,High
Call manager,Personal,Low
Buy math supplements,Health,Medium
Take bank medicine,Health,Low
Call gym,Personal,Medium
Invest in doctor,Finance,Medium
Spend time with project,Personal,Medium
Schedule friend appointment,Health,Medium
Update dentist documentation,Work,Low
Do bank workout,Health,Medium
Budget for friend,Finance,High
Take dentist medicine,Health,Medium
Go for friend checkup,Health,Medium
